ggml_cuda_init: found 1 CUDA devices (Total VRAM: 45596 MiB):
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes, VRAM: 45596 MiB

Computing statistics for /home/user1/workspace/bobchenyx/26-ICCAD/qwen35-imatrix-q8_0-callback-864.gguf (510 tensors)

 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
   36	ffn_down_shexp      	    440.46	  0.0187	   213.3108	  0.86	  9.45	  100.00%	   512	    5.1599	 57.33%	      0.39%	  0.0118
   30	ffn_down_shexp      	    225.46	  0.0118	   114.6244	  0.44	  5.09	  100.00%	   512	    4.8015	 53.35%	      0.59%	  0.0053
   31	ffn_down_shexp      	    185.57	  0.0110	    29.3255	  0.36	  1.42	  100.00%	   512	    7.1900	 79.89%	      2.34%	  0.0096
   32	ffn_down_shexp      	     94.24	  0.0078	    43.4117	  0.18	  1.92	  100.00%	   512	    5.2736	 58.60%	      0.20%	  0.0166
   18	ffn_down_shexp      	     83.41	  0.0071	    53.9646	  0.16	  2.39	  100.00%	   512	    3.6429	 40.48%	      0.39%	  0.0031
   26	ffn_down_shexp      	     76.29	  0.0038	    53.1779	  0.15	  2.38	  100.00%	   512	    2.5948	 28.83%	      0.39%	  0.0011
   14	ffn_down_shexp      	     74.03	  0.0021	    59.7985	  0.14	  2.64	  100.00%	   512	    2.0982	 23.31%	      0.39%	  0.0014
   28	ffn_down_shexp      	     70.22	  0.0045	    54.3265	  0.14	  2.40	  100.00%	   512	    2.6181	 29.09%	      0.20%	  0.0012
   27	ffn_down_shexp      	     68.23	  0.0064	    44.6590	  0.13	  1.97	  100.00%	   512	    3.6694	 40.77%	      0.20%	  0.0028
   29	ffn_down_shexp      	     56.98	  0.0055	    18.3535	  0.11	  0.90	  100.00%	   512	    5.7376	 63.75%	      0.59%	  0.0018
   19	ffn_down_shexp      	     52.64	  0.0066	    34.0925	  0.10	  1.50	  100.00%	   512	    3.9269	 43.63%	      0.20%	  0.0024
   22	ffn_down_shexp      	     41.57	  0.0039	    29.4912	  0.08	  1.31	  100.00%	   512	    2.8143	 31.27%	      0.39%	  0.0039
   16	ffn_down_shexp      	     32.38	  0.0056	    24.3221	  0.06	  1.07	  100.00%	   512	    2.9774	 33.08%	      0.20%	  0.0020
   15	ffn_down_shexp      	     26.00	  0.0056	    13.3129	  0.05	  0.59	  100.00%	   512	    5.1607	 57.34%	      0.20%	  0.0027
   25	ffn_down_shexp      	     25.46	  0.0051	    17.3713	  0.05	  0.77	  100.00%	   512	    3.6743	 40.83%	      0.20%	  0.0222
